CONTRATISTA;PRODUCTO DE CLIENTE;
REINGEGAS Gas Natural S.A. ESP;LECTURAS;17378;
REINGEGAS Gas Natural S.A. ESP;LECTURA PREVIA;17379;
RTG LTDA Gas Natural S.A. ESP;SUSPENSION;44960;
RTG LTDA Gas Natural S.A. ESP;RECONEXION;44961;
RTG LTDA Gas Natural S.A. ESP;ASISTENCIA TECNICA;22680;
RTG LTDA Gas Natural S.A. ESP;CESES;39451;
RTG LTDA Gas Natural S.A. ESP;ATC;51818;
RTG LTDA Gas Natural S.A. ESP;TOMA DE PRESION;52858;
TECNOGAS LTDA Gas Natural S.A. ESP;CONTROL PREVIO;27855;
INGENIERIA INTEGRIDAD & PROTECCIóN S.A. Gas Natural S.A. ESP;RESEGUIMIENTO;28022;
INGENIERIA INTEGRIDAD & PROTECCIóN S.A. Gas Natural S.A. ESP;PATRULLAJE;28023;
PSI Gas Natural S.A. ESP;GN - Servigas;44163;
INVERMEX Gas Natural S.A. ESP;GN - Servigas;45915;
CPS CORROSION PIPELINE SERVICES S.A.S. Gas Natural S.A. ESP;CONTROL PREVIO;51628;
EDINCI Gas Natural S.A. ESP;GN - Servigas;58370;
SETEGAS Gas Natural S.A. ESP;GN - Servigas;59330;
SION Gas Natural S.A. ESP;GN - Servigas;59348;
TECNODISENOS Gas Natural S.A. ESP;GN - Servigas;59346;
INSTARGAS-GOR Gas Natural S.A. ESP;LECTURAS;64900;
INSTARGAS-GOR Gas Natural S.A. ESP;GN - Servigas;59351;
INMEL INGENIERIA SAS Gas Natural S.A. ESP;LECTURAS;67044;
INMEL INGENIERIA SAS Gas Natural S.A. ESP;LECTURA PREVIA;67045;
ASISTENCIA TECNICA INDUSTRIAL (ATI) Gas Natural S.A. ESP;LECTURAS;70443;
ASISTENCIA TECNICA INDUSTRIAL (ATI) Gas Natural S.A. ESP;LECT. IND. REGULADAS;67532;
ASISTENCIA TECNICA INDUSTRIAL (ATI) Gas Natural S.A. ESP;LECT. IND. NO REGULADAS;67533;
ASISTENCIA TECNICA INDUSTRIAL (ATI) Gas Natural S.A. ESP;LECT. IND.  VIP-SGC;67534;
ASISTENCIA TECNICA INDUSTRIAL (ATI) Gas Natural S.A. ESP;LECT. IND. SSEE;67535;
ASISTENCIA TECNICA INDUSTRIAL (ATI) Gas Natural S.A. ESP;LECTURA PREVIA;70444;
ASISTENCIA TECNICA INDUSTRIAL (ATI) Gas Natural Cundiboyacense S.A.ESP;LECT. IND. REGULADAS;67589;
ASISTENCIA TECNICA INDUSTRIAL (ATI) Gas Natural Cundiboyacense S.A.ESP;LECT. IND. NO REGULADAS;67590;
ASISTENCIA TECNICA INDUSTRIAL (ATI) Gas Natural Cundiboyacense S.A.ESP;LECT. IND.  VIP-SGC;67591;
ASISTENCIA TECNICA INDUSTRIAL (ATI) Gas Natural Cundiboyacense S.A.ESP;LECT. IND. SSEE;67592;
BUREAU VERITAS COLOMBIA LTDA Gas Natural S.A. ESP;LECTURAS;67620;
BUREAU VERITAS COLOMBIA LTDA Gas Natural S.A. ESP;LECTURA PREVIA;67621;
;LECTURAS;3;
